impulse,rate_h,rate_ref
1e-06,4,178
1.101123595505618e-06,4,184
1.202247191011236e-06,4,194
1.3033707865168538e-06,4,206
1.4044943820224718e-06,4,212
1.5056179775280898e-06,4,221
1.6067415730337078e-06,5,233
1.7078651685393258e-06,5,244
1.8089887640449439e-06,5,258
1.910112359550562e-06,6,268
2.01123595505618e-06,6,281
2.1123595505617975e-06,6,295
2.213483146067416e-06,6,314
2.3146067415730335e-06,6,328
2.4157303370786515e-06,6,350
2.5168539325842695e-06,6,367
2.6179775280898875e-06,8,388
2.7191011235955055e-06,12,406
2.8202247191011236e-06,12,434
2.9213483146067416e-06,15,459
3.022471910112359e-06,19,490
3.1235955056179776e-06,21,515
3.224719101123595e-06,22,538
3.3258426966292136e-06,25,567
3.4269662921348312e-06,29,602
3.5280898876404497e-06,33,640
3.6292134831460672e-06,33,664
3.730337078651685e-06,35,701
3.831460674157303e-06,41,744
3.932584269662921e-06,44,780
4.033707865168539e-06,54,822
4.134831460674157e-06,60,866
4.235955056179775e-06,65,906
4.337078651685393e-06,73,944
4.438202247191011e-06,84,984
4.539325842696629e-06,90,1031
4.640449438202247e-06,103,1086
4.741573033707865e-06,113,1132
4.8426966292134826e-06,129,1184
4.943820224719101e-06,141,1222
5.044943820224719e-06,154,1266
5.146067415730337e-06,167,1311
5.247191011235955e-06,179,1346
5.348314606741572e-06,187,1402
5.449438202247191e-06,210,1442
5.550561797752808e-06,232,1494
5.651685393258427e-06,250,1548
5.752808988764044e-06,273,1585
5.853932584269663e-06,304,1625
5.95505617977528e-06,326,1661
6.056179775280899e-06,355,1703
6.157303370786516e-06,381,1753
6.258426966292135e-06,409,1779
6.359550561797752e-06,438,1822
6.46067415730337e-06,480,1854
6.561797752808988e-06,513,1885
6.662921348314606e-06,545,1907
6.764044943820224e-06,574,1947
6.865168539325842e-06,605,1968
6.96629213483146e-06,645,1996
7.067415730337078e-06,682,2025
7.1685393258426964e-06,715,2057
7.269662921348314e-06,752,2075
7.3707865168539325e-06,787,2097
7.47191011235955e-06,828,2127
7.573033707865168e-06,883,2145
7.674157303370787e-06,931,2169
7.775280898876404e-06,971,2191
7.876404494382022e-06,1022,2218
7.97752808988764e-06,1049,2240
8.078651685393259e-06,1120,2257
8.179775280898876e-06,1170,2275
8.280898876404494e-06,1218,2297
8.382022471910113e-06,1258,2321
8.483146067415731e-06,1310,2344
8.584269662921348e-06,1342,2360
8.685393258426966e-06,1393,2373
8.786516853932585e-06,1444,2392
8.887640449438203e-06,1479,2415
8.98876404494382e-06,1522,2435
9.089887640449438e-06,1566,2454
9.191011235955057e-06,1606,2463
9.292134831460675e-06,1649,2482
9.393258426966292e-06,1686,2503
9.49438202247191e-06,1720,2524
9.595505617977529e-06,1754,2539
9.696629213483146e-06,1798,2555
9.797752808988764e-06,1826,2565
9.898876404494382e-06,1854,2580
1e-05,1890,2602
